president,approval,timestamp
Trump,41.01106333333333,15 Jun 2020
Biden,52.95932,15 Jun 2021
Trump,43.732,15 Mar 2017
Trump,40.46296,15 Mar 2018
Trump,41.41354,15 Mar 2019
Trump,42.4502085,15 Mar 2020
Biden,53.846774,15 Mar 2021
Trump,40.50564,15 May 2017
Trump,42.32984,15 May 2018
Trump,42.16721,15 May 2019
Trump,44.067224,15 May 2020
Trump,38.08255,15 Nov 2017
Trump,42.42001,15 Nov 2018
Trump,41.196125,15 Nov 2019
Biden,42.912122,15 Nov 2021
Trump,37.66046,15 Oct 2017
Trump,42.02434,15 Oct 2018
Trump,41.67105,15 Oct 2019
Trump,42.733235,15 Oct 2020
Biden,44.8352,15 Oct 2021
Trump,38.85391,15 Sep 2017
Trump,40.15711,15 Sep 2018
Trump,41.622215,15 Sep 2019
Trump,43.067052,15 Sep 2020
Biden,45.997007,15 Sep 2021
Trump,41.34031,16 Apr 2017
Trump,40.70876,16 Apr 2018
Trump,42.11832,16 Apr 2019
Trump,44.108898,16 Apr 2020
Biden,53.242339,16 Apr 2021
Trump,37.33916,16 Aug 2017
Trump,42.11238,16 Aug 2018
Trump,42.12044,16 Aug 2019
Trump,41.853066,16 Aug 2020
Biden,49.95410733333333,16 Aug 2021
Trump,36.40314,16 Dec 2017
Trump,42.51356,16 Dec 2018
Trump,43.197325,16 Dec 2019
Trump,43.530887,16 Dec 2020
Biden,43.705067,16 Dec 2021
Trump,41.3879,16 Feb 2018
Trump,41.77002,16 Feb 2019
Trump,43.3781515,16 Feb 2020
Biden,54.841579,16 Feb 2021
Trump,39.78146,16 Jan 2018
Trump,40.18261,16 Jan 2019
Trump,42.42082,16 Jan 2020
Biden,42.359418000000005,16 Jan 2022
Trump,38.60715,16 Jul 2017
Trump,42.077110000000005,16 Jul 2018
Trump,42.26181,16 Jul 2019
Trump,40.337064,16 Jul 2020
Biden,51.209837,16 Jul 2021
Trump,38.66948,16 Jun 2017
Trump,42.506479999999996,16 Jun 2019
Trump,40.784289,16 Jun 2020
Biden,51.939883,16 Jun 2021
Trump,43.59192,16 Mar 2017
Trump,40.24184,16 Mar 2018
Trump,41.46376,16 Mar 2019
Trump,42.720596,16 Mar 2020
Biden,53.88628,16 Mar 2021
Trump,39.90671,16 May 2017
Trump,42.14801,16 May 2018
Trump,42.03411,16 May 2019
Trump,44.016192,16 May 2020
Trump,38.12582,16 Nov 2017
Trump,42.45884,16 Nov 2018
Trump,44.763831499999995,16 Nov 2020
Biden,42.836017,16 Nov 2021
Trump,38.14785,16 Oct 2017
Trump,41.9318,16 Oct 2018
Trump,41.62344,16 Oct 2019
Trump,42.77451,16 Oct 2020
Trump,38.79293,16 Sep 2017
Trump,41.76714,16 Sep 2019
Trump,43.129773,16 Sep 2020
Biden,45.688091,16 Sep 2021
Trump,41.62966,17 Apr 2017
Trump,40.59293,17 Apr 2018
Trump,41.95601,17 Apr 2019
Trump,44.032825,17 Apr 2020
Trump,37.85554,17 Aug 2017
Trump,41.97367,17 Aug 2018
Trump,41.969554,17 Aug 2020
Biden,49.75954,17 Aug 2021
Trump,37.00387,17 Dec 2017
Trump,42.23711,17 Dec 2018
Trump,43.784341,17 Dec 2019
Trump,43.587504,17 Dec 2020
Biden,43.93048,17 Dec 2021
Trump,41.84582,17 Feb 2019
Trump,43.856667,17 Feb 2020
Biden,54.457794,17 Feb 2021
Trump,40.20608,17 Jan 2018
Trump,39.93794,17 Jan 2019
Trump,42.33786,17 Jan 2020
Trump,38.384623,17 Jan 2021
Trump,38.81894,17 Jul 2017
Trump,42.0509,17 Jul 2018
Trump,42.36789,17 Jul 2019
Trump,40.185953,17 Jul 2020
Trump,38.7223,17 Jun 2017
Trump,42.46795,17 Jun 2019
Trump,40.807029,17 Jun 2020
Biden,51.680343,17 Jun 2021
Trump,43.36182,17 Mar 2017
Trump,41.43812,17 Mar 2019
Trump,43.001512,17 Mar 2020
Biden,53.585267,17 Mar 2021
Trump,39.6813,17 May 2017
Trump,42.26259,17 May 2018
Trump,41.97104,17 May 2019
Biden,52.785206666666674,17 May 2021
Trump,38.07958,17 Nov 2017
Trump,44.758484,17 Nov 2020
Biden,42.956841,17 Nov 2021
Trump,37.98654,17 Oct 2017
Trump,42.62228,17 Oct 2018
Trump,41.55617,17 Oct 2019
Trump,38.79023,17 Sep 2017
Trump,40.149195000000006,17 Sep 2018
Trump,41.78471,17 Sep 2019
Trump,43.266375,17 Sep 2020
Biden,45.678538,17 Sep 2021
Trump,41.70159,18 Apr 2017
Trump,40.16125,18 Apr 2018
Trump,41.95035,18 Apr 2019
Trump,44.039269,18 Apr 2020
Trump,37.79533,18 Aug 2017
Trump,42.131305,18 Aug 2019
Trump,42.011622,18 Aug 2020
Biden,49.329073,18 Aug 2021
Trump,37.21277,18 Dec 2017
Trump,42.45143,18 Dec 2018
Trump,43.370585,18 Dec 2019
Trump,43.49953,18 Dec 2020
Trump,41.84088,18 Feb 2019
Trump,44.570087,18 Feb 2020
Biden,54.449369,18 Feb 2021
Trump,39.75453,18 Jan 2018
Trump,40.00951,18 Jan 2019
Trump,38.262011,18 Jan 2021
Trump,38.72128,18 Jul 2017
Trump,41.76017,18 Jul 2018
Trump,42.51968,18 Jul 2019
Biden,51.8164275,18 Jul 2021
Trump,38.73221,18 Jun 2017
Trump,42.141659999999995,18 Jun 2018
Trump,42.46444,18 Jun 2019
Trump,41.426064,18 Jun 2020
Biden,51.760901,18 Jun 2021
Trump,42.70947,18 Mar 2017
Trump,40.378820000000005,18 Mar 2018
Trump,41.58909,18 Mar 2019
Trump,42.996952,18 Mar 2020
Biden,54.036119,18 Mar 2021
Trump,39.45036,18 May 2017
Trump,42.38191,18 May 2018
Trump,41.93738,18 May 2019
Trump,43.9320465,18 May 2020
Biden,52.722626,18 May 2021
Trump,38.19148,18 Nov 2017
Trump,42.471545000000006,18 Nov 2018
Trump,41.20364433333333,18 Nov 2019
Trump,44.303998,18 Nov 2020
Biden,42.483309,18 Nov 2021
Trump,38.07331,18 Oct 2017
Trump,42.59281,18 Oct 2018
Trump,41.52386,18 Oct 2019
Biden,44.820646333333336,18 Oct 2021
Trump,38.90175,18 Sep 2017
Trump,40.37808,18 Sep 2018
Trump,41.77494,18 Sep 2019
Trump,43.035685,18 Sep 2020
Trump,41.92009,19 Apr 2017
Trump,40.21317,19 Apr 2018
Trump,41.58872,19 Apr 2019
Trump,44.105206,19 Apr 2020
Biden,53.256002,19 Apr 2021
Trump,42.15096,19 Aug 2019
Trump,41.91564,19 Aug 2020
Biden,49.105388,19 Aug 2021
Trump,37.10143,19 Dec 2017
Trump,42.08572,19 Dec 2018
Trump,43.354236,19 Dec 2019
Trump,41.30573666666667,19 Feb 2018
Trump,41.94509,19 Feb 2019
Trump,44.337416,19 Feb 2020
Biden,54.452566,19 Feb 2021
Trump,39.47084,19 Jan 2018
Trump,39.158235,19 Jan 2021
Trump,38.71251,19 Jul 2017
Trump,41.78589,19 Jul 2018
Trump,42.69924,19 Jul 2019
Trump,40.3594145,19 Jul 2020
Biden,52.452551,19 Jul 2021
Trump,38.71433,19 Jun 2017
Trump,42.30142,19 Jun 2018
Trump,42.49247,19 Jun 2019
Trump,41.404318,19 Jun 2020
Trump,42.48279,19 Mar 2017
Trump,40.73995,19 Mar 2018
Trump,41.53641,19 Mar 2019
Trump,43.714653,19 Mar 2020
Biden,54.326912,19 Mar 2021
Trump,38.86071,19 May 2017
Trump,43.639544,19 May 2020
Biden,52.913053,19 May 2021
Trump,38.1493,19 Nov 2017
Trump,42.76637,19 Nov 2018
Trump,41.285518,19 Nov 2019
Trump,44.349896,19 Nov 2020
Biden,42.526121,19 Nov 2021
Trump,37.96664,19 Oct 2017
Trump,42.21207,19 Oct 2018
Trump,42.764273333333335,19 Oct 2020
Biden,44.135183,19 Oct 2021
Trump,38.85189,19 Sep 2017
Trump,40.34524,19 Sep 2018
Trump,42.06663,19 Sep 2019
Biden,45.879643,19 Sep 2021
Trump,40.44848,2 Apr 2017
